百科事典,,資源品（雑誌・ざつ紙類）,
ビン,飲料水や食品のビン,資源品(空ビン類）,割れていても可/中はきれいにする
ビン,"飲み薬、ドリンク剤のビン",資源品(空ビン類）,割れていても可/中はきれいにする,
ビン,"化粧品、薬剤のビン",不燃ごみ,,
ビン,果実酒用のビン,不燃ごみ,自家製の梅酒を作るための広口ビン,
ビンのふた,"金属製、王冠",資源品（金属類）（空カン用袋）,
ビンのふた,プラスチック製,容器包装プラスチック類,取れないふたはビンにつけたまま出す,
便箋,,資源品（雑誌・ざつ紙類）,
ファックス（ファクシミリ）,,不燃ごみ,
ファックス用紙（感熱紙）,,可燃ごみ,
ファンデーションのケース,,不燃ごみ,
ファンヒーター,石油,資源品（金属類）,灯油は抜くか使い切る/乾電池は取り外して「有害ごみ」
ファンヒーター,セラミック,不燃ごみ,,
ファンヒーター,電気,不燃ごみ,,
フィルム,現像したもの,不燃ごみ,
フィルム,現像前のもの,不燃ごみ,,
風船,,可燃ごみ,
封筒,,資源品（雑誌・ざつ紙類）,窓空き封筒のセロファンははがすはがせなければ「可燃ごみ」
風鈴,金属製,資源品（金属類）（空カン用袋）,
風鈴,"ガラス製、陶器製",不燃ごみ,,
ブースター,,不燃ごみ,
プール（幼児用）,,不燃ごみ,
フォーク,金属製,資源品（金属類）（空カン用袋）,
フォーク,プラスチック製,不燃ごみ,,
不織布,,可燃ごみ,細かく切ること
ふすま,,不燃ごみ,1.8メートル×0.9メートル程度の大きさで自己施工のもの
ふすま紙,,可燃ごみ,
プチプチ（気泡かんしょう材）,,容器包装プラスチック類,紙製のものは「可燃ごみ」
筆,,可燃ごみ,
布団,,粗大ごみ,3枚で1点扱い/夏掛け布団・ベビー布団は5枚で1点扱い/直接搬入は枚数制限なし
布団圧縮袋,,不燃ごみ,
布団カバー,,資源品(古着・古布類）,
布団乾燥機,,不燃ごみ,
布団袋,,資源品(古着・古布類）,
フライ返し,金属製,資源品（金属類）（空きカン用袋）,柄が金属でなくても可
フライ返し,プラスチック製,,,
フライパン,,資源品（金属類）（空カン用袋）,テフロン加工のものも可
ブラインド,金属製,資源品（金属類）,糸はそのままでよい
ブラインド,プラスチック製,不燃ごみ,,
ぶら下がり健康器,,資源品（金属類）,
ブラシ,"髪、衣類、トイレ用",不燃ごみ,
ブラシ,"歯ブラシ、風呂用",不燃ごみ,,
プラスチック製収納ケース,,不燃ごみ,
プラスチック製うちわ,,可燃ごみ,うちわは「可燃ごみ」に統一
プラズマテレビ,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
プラモデル,,不燃ごみ,
フラワーポット,プランターなど購入したもの,不燃ごみ,
フラワーポット,買った草花が入っていたもの,容器包装プラスチック類,できるだけ土を落とす,
ブランコ,金属製,資源品（金属類）,
ブランコ,金属製以外,不燃ごみ,分解して1.2メートル未満にする,
プランター,,不燃ごみ,
"ブリキ製品（板、おもちゃなど）",,資源品（金属類）,
プリンター,,不燃ごみ,
プリンターカートリッジ,,不燃ごみ,できるだけ電器店の回収箱へ
プリペイドカード,,可燃ごみ,
フロアクッション,,不燃ごみ,
風呂敷,布製,資源品(古着・古布類）,
風呂敷,ビニール製,不燃ごみ,,
ブロック（自己施工したもの）,,収集できないごみ,
フロッピーディスク,,不燃ごみ,
フロッピーディスクケース,,不燃ごみ,
プロパンガスボンベ,,収集できないごみ,購入店舗に引き取りを依頼する（ボンベに記載）
風呂用品,浴槽（プラスチック製・木製）,粗大ごみ,
風呂用品,浴槽（金属製・ホウロウ製）,資源品（金属類）,30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,
洗面器,不燃ごみ,,
風呂用品,"マット、すのこ、ふた",不燃ごみ,,
風呂用品,風呂掃除用のくつ,不燃ごみ,,
ブロンズ像,,資源品（金属類）,
糞（ペットのもの）,,可燃ごみ,遮水を施し紙等でくるむ
文鎮,金属製,資源品（金属類）（空カン用袋）,
文鎮,ガラス製,不燃ごみ,,
ヘアードライヤー,,不燃ごみ,
ベッド,木製（枠）,粗大ごみ,マットレスとセットで1点扱い（枠を解体していても可）/解体した枠のみは1.2メートル未満であれば「不燃ごみ」
ベッド,金属製（パイプベッド）,資源品（金属類）,2つ折タイプであればスプリングなしマットレスや板が外せなくてもそのままで可,
ペットの糞,,可燃ごみ,遮水を施し紙等でくるむ
PETボトル(ペットボトル),PETボトル本体,資源品（PETボトル）,マークのあるもののみ
PETボトル(ペットボトル),ふた,容器包装プラスチック類,,
PETボトル(ペットボトル),ラベル,容器包装プラスチック類,はがさなくてもよい,
ベビー椅子,足などが金属製,資源品（金属類）,座るところは金属でなくても可
ベビー椅子,木製・プラスチック製,不燃ごみ,,
ベビーカー,金属製のフレーム,資源品（金属類）,
ベビーカー,プラスチック製のフレーム,不燃ごみ,,
ベビー布団,,粗大ごみ,5枚で1点扱い（座布団と同じ）
ベビーベッド,,粗大ごみ,解体して1.2メートル未満であれば「不燃ごみ」
ベビーラック,,不燃ごみ,
ヘルスメーター,,資源品（金属類）,外側がプラスチックでも可
ベルト,,不燃ごみ,
ヘルメット,,不燃ごみ,
ペンキ,少量,可燃ごみ,布や紙に染み込ませる
ペンキ,多量,収集できないごみ,廃棄物処理業者に依頼する（有料）,
ペンキの缶,,資源品（空カン類）,中味を出し切る/少量の付着は可
便座,,不燃ごみ,自己施工のみ/洗浄機能付きも可
便座カバー,,可燃ごみ,
ベンチ,金属製,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
金属製以外,粗大ごみ,1.2メートル未満のものは「不燃ごみ」,
ペンチ,,資源品（金属類）（空カン用袋）,
弁当箱,ランチジャー,不燃ごみ,
弁当箱,金属製,資源品（金属類）（空カン用袋）,,
弁当箱,持ち帰り弁当（プラスチック製）,容器包装プラスチック類,軽くすすぐ,
弁当箱,持ち帰り弁当（紙製）,可燃ごみ,,
ボアシーツ,,資源品(古着・古布類）,
ホイル（アルミ箔）（きれいなもの）,,資源品（金属類）（空カン用袋）,汚れたものは「可燃ごみ」
ホイール（車用）,,資源品（金属類）,
望遠鏡,,不燃ごみ,
ほうき,,不燃ごみ,
帽子,布製,資源品(古着・古布類）,
帽子,麦わら帽子,可燃ごみ,,
サンバイザー,不燃ごみ,,
革製,資源品（古着・古布類）,,
包装紙,,資源品（雑誌・ざつ紙類）,金・銀紙は「可燃ごみ」
防虫剤（衣類用）,紙包み,可燃ごみ,
防虫剤（衣類用）,プラケース入り,不燃ごみ,,
包丁,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
包丁とぎ器,,不燃ごみ,
ボウル,ガラス製,不燃ごみ,
ボウル,プラスチック製,不燃ごみ,,
ボウル,金属製,資源品（金属類）（空カン用袋）,,
"ホース（ゴムホース、ビニールホース）",不燃ごみ,,
ポータブルトイレ,,不燃ごみ,汚物は処理する
ポータブルミシン,,資源品（金属類）,プラスチック製のカバーは「不燃ごみ」
ホームベーカリー,,不燃ごみ,本体がステンレスのものは「資源品（金属類）」内釜は「資源品（金属類）」
ボウリングの玉,,収集できないごみ,北部クリーンセンターへ直接搬入可
"ボール（野球、テニス、サッカー）",,不燃ごみ,
"ボール（卓球、ビーチボール、バレー）",不燃ごみ,,
ボール紙,,資源品（雑誌・ざつ紙類）,
ボールペン,,不燃ごみ,
ホウロウ鍋,,資源品（金属類）（空カン用袋）,
木刀,,不燃ごみ,
歩行器,,不燃ごみ,
ボタン電池,,不燃ごみ,充電式電池は水銀なし
ホッチキス,,資源品（金属類）（空カン用袋）,
ホッチキスの針,,可燃ごみ,多量なら「資源品（金属類）」
"ポット（魔法瓶、電気ポットとも）",,不燃ごみ,
ホットカーペット,,不燃ごみ,1辺1.2メートル未満にたたむ
ホットプレート,,不燃ごみ,取り外せるプレートは「資源品（金属類）」
ポテトチップスの袋,,容器包装プラスチック類,
ポテトチップスの紙筒,,可燃ごみ,
ポテトチップスの容器（紙筒で底が金属）,可燃ごみ,金属部分は外せれば「資源品（金属類）」,
"ほ乳瓶（プラスチック製、ガラス製とも）",不燃ごみ,,
ポリタンク,,不燃ごみ,
ポリバケツ,,不燃ごみ,
ポリ袋,,容器包装プラスチック類,
保冷庫,,収集できないごみ,一部のものは冷蔵庫扱いとなる（補足）家電リサイクル券センターに要確認電話番号0120-319640リサイクル対象外の場合大きさにより「不燃ごみ」又は「粗大ごみ」
保冷剤（ゼリータイプ）,,可燃ごみ,ハードタイプは「不燃ごみ」
ホワイトボード,,不燃ごみ,
"本（単行本、文庫本とも）",,資源品（雑誌・ざつ紙類）,
本棚,金属製,資源品（金属類）,
本棚,木製,粗大ごみ,1辺1.2メートル未満のものは「不燃ごみ」,
ボンド（少量）,,可燃ごみ,
ポンプ(井戸用等金属製）,,資源品（金属類）,自己施工のみ
ボンベ缶（カセットコンロ用）,,資源品（空カン類）,使い切って穴を開ける
品名,形態・材質,ごみ種別,出し方の注意
マーガリンの容器,,容器包装プラスチック類,中身を拭き取る
麻雀卓,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」/全自動卓でも可
"麻雀パイ、マット",,不燃ごみ,
マイク,金属製,資源品（金属類）（空カン用袋）,乾電池は取り外して「有害ごみ」
マイク,プラスチック製,不燃ごみ,,
マウス（パソコンの付属品）,,不燃ごみ,
マウスパッド,,不燃ごみ,
巻きす,,不燃ごみ,
マグネット,,資源品（金属類）（空カン用袋）,
マグネットシート,,可燃ごみ,
枕,,不燃ごみ,"中身（羽毛、綿、そば殻等）の材質は問わない"
まごの手,,可燃ごみ,
マジックペン,,不燃ごみ,
マッサージ椅子,,粗大ごみ,
マッチ,,可燃ごみ,必ず水で湿らせてから指定ごみ袋へ
"マット（布製、ビニール製とも）",,不燃ごみ,1辺1.2メートル未満にたたむ
マットレス,スプリング入り,粗大ごみ,
スプリングなし,不燃ごみ,1辺1.2メートル未満にたたむ,
窓枠,アルミ枠のみ,資源品（金属類）,自己施工のみ
窓枠,ガラスのみ,不燃ごみ,自己施工のみ,
窓枠,ガラス付きアルミ枠,不燃ごみ,自己施工のみ,
"まな板（木製、プラスチック製とも）",,不燃ごみ,
マニキュアのびん,,不燃ごみ,
マネキン,,不燃ごみ,
マフラー（えりまき）,,資源品(古着・古布類）,
魔法瓶,,不燃ごみ,
豆電球,,不燃ごみ,
マヨネーズチューブ,,容器包装プラスチック類,中身を使い切る
ミキサー,,不燃ごみ,
ミシン,ポータブルミシン,資源品（金属類）,プラスチック製のカバー（ふた）は「不燃ごみ」
ミシン,金属製足踏みミシン,粗大ごみ,上下が分けられれば上は「資源品（金属類）」下は「不燃ごみ」,
ミシン糸,,不燃ごみ,糸巻きごと出す場合/糸だけなら「可燃ごみ」
ミシンのカバー（ポータブルミシン）,不燃ごみ,,
水着,,資源品(古着・古布類）,
水切りかご,プラスチック製,不燃ごみ,
水切りかご,金属製,資源品（金属類）,,
味噌の容器,プラスチック容器,容器包装プラスチック類,軽くすすいでから出す
味噌の容器,プラスチック製の袋,容器包装プラスチック類,付着した中身が取れなければ「可燃ごみ」,
味噌汁椀,漆器,可燃ごみ,
味噌汁椀,合成樹脂,不燃ごみ,,
ミニカー,プラスチック製,不燃ごみ,
ミニカー,金属製,資源品（金属類）（空カン用袋）,,
ミニコンポ,,不燃ごみ,
耳掻き,竹製,可燃ごみ,
耳掻き,プラスチック製,不燃ごみ,,
金属製,資源品（金属類）（空カン用袋）,,
無圧ふとん,,不燃ごみ,1辺1.2メートル未満にたたむ
ムートン,敷物,不燃ごみ,
ムートン,着衣・寝具,資源品(古着・古布類）,,
麦わら帽子,,可燃ごみ,プラスチック製のものは「不燃ごみ」
虫かご,竹製,可燃ごみ,
虫かご,プラスチック製,不燃ごみ,,
虫かご,金属製,資源品（金属類）（空カン用袋）,,
蒸し器,,資源品（金属類）（空カン用袋）,
虫眼鏡,,不燃ごみ,
むしろ,,不燃ごみ,1辺1.2メートル未満にたたむ
むしろ（小さく切ったもの）,,可燃ごみ,
名刺,,資源品（雑誌・ざつ紙類）,
眼鏡,,不燃ごみ,
メモ用紙,,資源品（雑誌・ざつ紙類）,
毛布,"普通のもの、2枚合わせのもの",資源品(古着・古布類）,ペットが使用したものは「ペット使用」と表示し「不燃ごみ」
毛布,キルティング加工したもの,不燃ごみ,詰め物があるものは資源化できないため,
毛布,電気毛布,不燃ごみ,1辺1.2メートル未満にたたむ,
木製家具,1辺1.2メートル未満,不燃ごみ,
木製家具,1辺1.2メートル以上,粗大ごみ,,
木製パレット,,収集できないごみ,木製・プラスチック製とも産業廃棄物として処理
木炭,,可燃ごみ,
モップ,,不燃ごみ,
物置（金属製）,,資源品（金属類）,"できるだけ解体する/3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
物干し竿,プラスチック製,不燃ごみ,1.2メートル未満にする
物干し竿,金属製,資源品（金属類）,長さ3メートル以下にする,
物干し台,,粗大ごみ,台の石のみでも同様/1対で1点扱い
品名,形態・材質,ごみ種別,出し方の注意
やかん,,資源品（金属類）（空カン用袋）,
焼き鳥の串,,可燃ごみ,危なくないように先を折るか包む
薬品のビン,,不燃ごみ,
薬品類,,収集できないごみ,廃棄物処理業者に依頼する（有料）
やなぎごおり,,不燃ごみ,
浴衣,,資源品(古着・古布類）,
湯たんぽ,プラスチック製,不燃ごみ,
湯たんぽ,金属製,資源品（金属類）（空カン用袋）,,
ユニフォーム,,資源品(古着・古布類）,
湯のみ茶碗,,不燃ごみ,
湯沸し器,,資源品（金属類）,
楊枝,,可燃ごみ,
洋ダンス,1辺1.2メートル未満,不燃ごみ,
洋ダンス,1辺1.2メートル以上,粗大ごみ,,
ヨーグルト・ヤクルトのふた（アルミ）,可燃ごみ,手で容易に破けるもの,
ヨーグルト・ヤクルトのふた（プラスチック製）,容器包装プラスチック類,手で容易に破けないもの,
ヨーグルトの容器,プラスチック製,容器包装プラスチック類,軽くすすぐ
ヨーグルトの容器,紙製,可燃ごみ,,
浴槽,プラスチック製・木製,粗大ごみ,
浴槽,金属製・ホウロウ製,資源品（金属類）,30キログラムを超えるものは資源組合で直接回収?電話番号04-7131-1040,
よしず,,不燃ごみ,1辺1.2メートル未満にたたむ
品名,形態・材質,ごみ種別,出し方の注意
ライター,,有害ごみ,ガスは使い切る/ライターだけ透明な袋に入れる
ライティングデスク,,粗大ごみ,
ラグマット,,不燃ごみ,じゅうたんに似たもの
ラジオ,,不燃ごみ,
ラジカセ,,不燃ごみ,
ラジコン,,不燃ごみ,
ラティス,,不燃ごみ,1.8メートル×0.9メートル程度の大きさまで可
ラップ（食品ラップ）,野菜を包んでいたもの,容器包装プラスチック類,油汚れの付いてないもの
ラップ（食品ラップ）,肉や惣菜のトレイにかかっていたもの,容器包装プラスチック類,シールははがさなくてよい/汚れのひどいものは「可燃ごみ」,
ラップ（食品ラップ）,家庭で使ったもの,容器包装プラスチック類,汚れのひどいものは「可燃ごみ」,
ラップの芯,,可燃ごみ,
ラミネート加工の紙,,可燃ごみ,
ランドセル,,不燃ごみ,
ランプ,,不燃ごみ,
リール,糸つき,不燃ごみ,
リール,糸をとったもの,資源品（金属類）（空カン用袋）,,
リカービン,,不燃ごみ,
リコーダー（縦笛）,,不燃ごみ,
リモコン,,不燃ごみ,乾電池は取り外して「有害ごみ」
リヤカー,,資源品（金属類）,「資源品」と表示する
リュックサック,,不燃ごみ,
ルーズリーフ,,不燃ごみ,
ルームランナー,,資源品（金属類）,
冷温庫,,収集できないごみ,一部のものは冷蔵庫扱いとなる（補足）家電リサイクル券センターに要確認電話番号0120-319640リサイクル対象外の場合大きさにより「不燃ごみ」又は「粗大ごみ」
冷蔵庫,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
冷凍庫,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
冷凍食品の袋,,容器包装プラスチック類,
冷風機,,不燃ごみ,
レインコート,,資源品（古着・古布類）,
"レース（テーブルクロス、カーテン等）",資源品（古着・古布類）,,
レコード,,不燃ごみ,レコードジャケットとは分別する
レコードジャケット,,資源品（雑誌・ざつ紙類）,ビニールコーティングされてるものは「可燃ごみ」
レコードプレーヤー,,不燃ごみ,
レザーの衣類,,資源品（古着・古布類）,
レザーコート,,資源品（古着・古布類）,
レザージャケット,,資源品（古着・古布類）,
レザーパンツ,,資源品（古着・古布類）,
レシート,,資源品（雑誌・ざつ紙類）,感熱紙は「可燃ごみ」
レジ袋,,容器包装プラスチック類,
レジャーシート,,不燃ごみ,
"レトルトパック（カレー、中華材料など）",容器包装プラスチック類,中身が付着している場合は「可燃ごみ」,
レンガ（自己施工したもの）,,収集できないごみ,
レンジ台,,資源品（金属類）,
レンズ,,不燃ごみ,
煉炭,,可燃ごみ,
ろうびき紙,,可燃ごみ,
ろうそく,,可燃ごみ,
ロープ,ビニール製,不燃ごみ,できるだけ1メートルほどに切って出す
ローラースケート,,不燃ごみ,
ロールカーテン,,不燃ごみ,
ロデオマシーン,,粗大ごみ,
ワープロ,,不燃ごみ,
ワープロリボン,,不燃ごみ,できるだけ店頭回収へ
ワインセラー・ワインクーラー,収集できないごみ,家電リサイクル法に基づいて処理（＝冷蔵庫）→処理方法を調べる,
輪ゴム,,可燃ごみ,
和紙,,資源品（雑誌・ざつ紙類）,糸の入っていないもの
綿,少量,可燃ごみ,
綿,多量,粗大ごみ,布団と同じ処理をするため,
和ダンス,1辺1.2メートル未満,不燃ごみ,
和ダンス,1辺1.2メートル以上,粗大ごみ,,
ワッペン,,可燃ごみ,
和服,,資源品(古着・古布類）,
割り箸,,可燃ごみ,
"椀、味噌汁椀",漆器,可燃ごみ,
"椀、味噌汁椀",合成樹脂,不燃ごみ,,
ワンカップ酒のビン,,資源品(空ビン類）,
腕章,,可燃ごみ,
